#separator:tab
#html:true
#tags column:3
"32F + low MCV + low Hb + smear is shown below; Dx?<br><img src=""paste-d55f350f68556e191d781ead2389cc8dfe0a7ad6.jpg"">"	&nbsp;iron deficiency anemia (IDA); smear shows pale RBCs (i.e., with central pallor).	
Mechanism&nbsp;of&nbsp;narcolepsy?	<div>&nbsp;deficiency of orexin (hypocretin).</div>	
Diagnosis&nbsp;of&nbsp;narcolepsy?	<div>&nbsp;polysomnography.</div>	
What&nbsp;is&nbsp;cataplexy?	"<div>&nbsp;loss of muscle
tone usually in response to emotional stimulus
(e.g., laughter) →seen in narcolepsy.</div>"	
Tx&nbsp;of&nbsp;nacrolepsy&nbsp;	<div>= stimulants (i.e., modafinil).</div>	
&nbsp;Polysomnography&nbsp;findings&nbsp;in&nbsp;narcolepsy?	"<div>&nbsp;→ REM latency: ↓; sleep latency:
↓.</div>"	
What&nbsp;is&nbsp;simple&nbsp;vs&nbsp;complex&nbsp;seizure?&nbsp;	"<div>&nbsp;simple = no LoC; complex
= LoC; patient staring off into space not aware of surroundings = LoC.</div>"	
What&nbsp;is&nbsp;partial&nbsp;vs&nbsp;generalized&nbsp;seizure?&nbsp;	"<div>&nbsp;partial = affecting one part of the brain;
generalized = involves
the wholes of both cerebral
hemispheres.</div>"	
What is myoclonic seizure?&nbsp;	<div>&nbsp;→ jerks in muscle or group of muscles; no LoC.</div>	
Patient with MDD has fluoxetine discontinued + tranylcypromine commenced one week later +&nbsp;patient&nbsp;develops&nbsp;temp&nbsp;of&nbsp;105F&nbsp;+&nbsp;HR&nbsp;110&nbsp;+&nbsp;RR&nbsp;25;&nbsp;Dx?	"<div>&nbsp;→ serotonin syndrome; will show up on Psych shelf as simply “drug-drug interaction”;
can occur when combining SSRIs with St John Wort, or notably when commencing a MAOi too soon after being on another serotonergic medication.</div>"	
Tx&nbsp;of&nbsp;serotonin&nbsp;syndrome?	<div>cyproheptadine (serotonin receptor antagonist).</div>	
Difference between serotonin syndrome and carcinoid syndrome?	"<div>→ serotonin
syndrome is from drug-drug
interactions and notably causes hyperpyrexia (high fever), tachycardia, and
tachypnea; carcinoid syndrome is a
result of carcinoid tumors (usually small bowel, appendiceal, or bronchial) secreting serotonin and causes flushing, diarrhea, abdominal pain, and bronchoconstriction.</div>"	
&nbsp;How&nbsp;to&nbsp;Dx&nbsp;+&nbsp;Tx&nbsp;carcinoid&nbsp;syndrome?	"<div>→ Dx with urinary 5-HIAA (5-hydroxyindole acetic
acid); Tx with
octreotide, among other
agents.</div>"	
&nbsp;Patient witnesses terror attack + has felt emotionally numb for two years since + sometimes&nbsp;disturbed&nbsp;sleep;&nbsp;next&nbsp;best&nbsp;step?	"<div>“provide information about the ranges
of reactions to trauma.”</div>"	
64M&nbsp;+&nbsp;Parkinson&nbsp;disease&nbsp;+&nbsp;2-month&nbsp;Hx&nbsp;of&nbsp;paranoid&nbsp;behavior;&nbsp;Dx&nbsp;+&nbsp;Tx?	"<div>→ Dx is Parkinson disease
psychosis (PDP); Tx on shelf = quetiapine (can Tx with quetiapine or clonidine).</div>"	
&nbsp;45M + survived plane crash two weeks ago + wakes up screaming in middle of night reliving the&nbsp;event;&nbsp;Dx?	"<div>&nbsp;acute stress disorder, not post-traumatic stress disorder (PTSD);
acute stress disorder
is &lt; 1 month; PTSD is &gt; 1 month.
Treatment for both is CBT.</div>"	
Tx&nbsp;for&nbsp;TCA&nbsp;toxicity?&nbsp;	<div>sodium bicarb → causes dissociation of drug from myocardial sodium channels.</div>	
25M + schizophrenic non-responsive to many meds + started on new drug + mouth ulcers; Dx?	"<div>&nbsp;agranulocytosis secondary to
clozapine; stop drug immediately; must do granulocyte checks frequently when first commencing this agent.</div>"	
<div>&nbsp;&nbsp;16M&nbsp;+&nbsp;BMI&nbsp;31&nbsp;+&nbsp;snores&nbsp;loudly&nbsp;+&nbsp;morning&nbsp;headaches&nbsp;+&nbsp;3-5&nbsp;beats&nbsp;of&nbsp;jerk&nbsp;nystagmus&nbsp;with&nbsp;lateral&nbsp;gaze;</div><div>&nbsp;</div><div>Dx?</div>	"<div>
<div>&nbsp;“sleep-related hypoventilation”; nystagmus is weird finding,
but it’s on the Psych</div>
</div>
<br>

<div>NBME;
morning headaches are common in sleep-related hypoventilation; can do
polysomnography to diagnose.</div>"	
33F + 1-wk Hx of R-sided weakness + L-sided inability to feel temperature/pain + diminished vibratory&nbsp;sensation over R foot + brisk R-sided reflexes + R-sided Babinski sign; Dx?	"<div>Brown-Sequard syndrome
secondary to viral
infection.</div>"	
59F + metastatic cancer + in pain + crying + “wants to die”; Q asks most likely reason for wanting to&nbsp;die	"<div>“inadequate pain control”;
“major depression” is wrong answer; must address pain management in cancer
patients.</div>"	
&nbsp;42F + 3-month Hx of insomnia + discomfort while lying in bed; next best step in management?	"<div>&nbsp;check serum iron and ferritin
levels; student says wtf? → restless leg syndrome is most often caused by iron deficiency.</div>"	
42F + 3-month Hx of insomnia + discomfort while lying in bed + serum iron and ferritin are normal; next best step in management?	"<div>&nbsp;D2 agonist
– i.e., pramipexole or ropinirole, etc.</div>"	
Patient with restless leg syndrome is at increased risk for what disease later in life?	"<div>&nbsp;Parkinson disease (if D2 agonist can Tx, then lack of dopamine transmission may
be etiology in some patients).</div>"	
58M + loses consciousness while shaving + tilt-table test shows&nbsp;<b>no abnormalities</b>; Dx?&nbsp;	"<div>&nbsp;NBME wants “carotid
sinus hypersensitivity” as answer. If tilt-table test (+), answer
= vasovagal syncope.</div>"	
45F&nbsp;+&nbsp;fundoscopy&nbsp;shows&nbsp;hard&nbsp;exudates&nbsp;+&nbsp;cotton&nbsp;wool&nbsp;spots&nbsp;+&nbsp;scattered&nbsp;hemorrhages;&nbsp;Dx?&nbsp;	<div>→ diabetic retinopathy.</div>	
Medication that can cause tardive dyskinesia that is not an antipsychotic?	"<div>&nbsp;metoclopramide (D2 antagonist); can also prolong
QT interval and cause hyperprolactinemia.</div>"	
Anti-depressant&nbsp;med&nbsp;causing&nbsp;seizures?	<div>bupropion.</div>	
Frontal lobe injury in car accident; NBME asks which deficit is most likely to ensue	<div>conceptual planning.</div>	
56M + alcoholism + acutely intoxicated + B1 is administered; the latter decreases what most&nbsp;significantly?	"<div>56M + alcoholism + acutely intoxicated + B1 is administered; the latter decreases what most&nbsp;significantly?&nbsp;→ Neuro shelf wants “anterograde amnesia” as the answer; mnemonic
for Wernicke = A COW → Ataxia, Confusion, Ophthalmoplegia, Wernicke<br></div>"	
56M + 3-day Hx of cutting from 12 beers a day down to 4; develops tremulousness; Tx?&nbsp;	<div>&nbsp;→ chlordiazepoxide (delirium tremens); classic vignette is guy has surgery + two days later has tachycardia, tremulousness, and hallucinations (alcoholic hallucinosis).</div>	
50F&nbsp;+&nbsp;high&nbsp;ESR&nbsp;and&nbsp;creatine&nbsp;kinase&nbsp;(CK)&nbsp;+&nbsp;proximal&nbsp;muscle&nbsp;weakness&nbsp;+/-&nbsp;muscle&nbsp;pain;&nbsp;Dx?	<div>polymyositis.<br></div>	
50F&nbsp;+&nbsp;high&nbsp;ESR&nbsp;+&nbsp;no&nbsp;mention&nbsp;of&nbsp;high&nbsp;CK&nbsp;or&nbsp;weakness&nbsp;in&nbsp;the&nbsp;vignette&nbsp;+&nbsp;muscle&nbsp;pain&nbsp;+&nbsp;muscle&nbsp;stiffness;&nbsp;Dx?	<div>&nbsp; → polymyalgia rheumatica (PMR).</div>	
Main difference between PMR and polymyositis?&nbsp;	"<div>→ PMR has no proximal muscle weakness + a normal creatine kinase; polymyositis has high
CK and weakness; pain + stiffness of muscles can be seen in both conditions, but classically PMR. For USMLE vignettes + neuro shelf,
focus on whether
there’s weakness or elevated CK.</div>"	
&nbsp;48F + high ESR and creatine kinase (CK) + proximal muscle weakness +/- muscle pain; next best step in&nbsp;Dx?	"<div>&nbsp;→ Neuro shelf
wants either “anti-Jo1 / -Mi2 antibodies” or “electromyography and nerve conduction studies” as the answer to Dx
polymyositis. After these, do muscle biopsy can be performed for definitive Dx. In contrast,
no specific Dx test is used for PMR.</div>"	
59F + temporal headache + muscle pain and stiffness + high ESR; Dx?&nbsp;	"<div>→ temporal
arteritis + polymyalgia rheumatica → next best step? =
IV methylprednisolone first,
followed by temporal
artery biopsy.</div>"	
68M&nbsp;+&nbsp;Hx&nbsp;of&nbsp;prostate&nbsp;cancer&nbsp;+&nbsp;now&nbsp;has&nbsp;neurologic&nbsp;findings;&nbsp;next&nbsp;best&nbsp;step&nbsp;in&nbsp;Dx?&nbsp;	"<div>→ MRI of spine to look
for mets → <b>however if
corticosteroids are listed, choose these before MRI </b>→ for spinal cord compression on NBME (from cancer or trauma), choose
steroids first if listed.</div>"	
65F&nbsp;+&nbsp;breast&nbsp;cancer&nbsp;+&nbsp;neurologic&nbsp;findings;&nbsp;next&nbsp;best&nbsp;step?	<div>→ answer on Neuro NBME is “intravenous high-dose dexamethasone.”</div>	
&nbsp;72M&nbsp;+&nbsp;prostate&nbsp;cancer&nbsp;+&nbsp;neurologic&nbsp;findings;&nbsp;Dx?	"<div>&nbsp;“epidural spinal
cord compression” due to spinal
mets → do
steroids first (if listed), then MRI.</div>"	
Patient&nbsp;has&nbsp;brain&nbsp;cancer;&nbsp;next&nbsp;best&nbsp;step?	<div>steroids.</div>	
How&nbsp;to&nbsp;Dx&nbsp;brain&nbsp;cancer?	"&nbsp;contrast head CT (done for cancer
and abscess)."	
How&nbsp;to&nbsp;Dx&nbsp;brain&nbsp;bleed?	<div>non-contrast CT (always done for intracranial bleeds).</div>	
Epidural&nbsp;hematoma;&nbsp;next&nbsp;best&nbsp;step&nbsp;after&nbsp;CT&nbsp;confirms?	"<div><b>intubation
and hyperventilation</b></div>
<div><b>&nbsp;</b></div>
<div>on Neuro NBME. After this is done, craniotomy is the answer.</div>"	
&nbsp;Subdural&nbsp;hematoma;&nbsp;next&nbsp;best&nbsp;step&nbsp;after&nbsp;CT?&nbsp;	<div>craniotomy on NBME, not observation.</div>	
What&nbsp;do&nbsp;you&nbsp;see&nbsp;on&nbsp;non-contrast&nbsp;CT&nbsp;with&nbsp;epidural&nbsp;vs&nbsp;subdural?	"<div>&nbsp;→ epidural hematoma
= lens-shaped bleed;
subdural = crescent-shaped.</div>"	
&nbsp;Blood&nbsp;pressure&nbsp;of&nbsp;220/120&nbsp;+&nbsp;confusion;&nbsp;Dx&nbsp;+&nbsp;Tx?	"<div>→ Hypertensive encephalopathy; give IV sodium nitroprusside → this question
is asked on Neuro form 1.</div>"	
BP&nbsp;of&nbsp;220/120&nbsp;+&nbsp;sodium&nbsp;nitroprusside&nbsp;administered;&nbsp;now&nbsp;patient&nbsp;has&nbsp;confusion;&nbsp;Dx?&nbsp;	<div>→ cyanide toxicity caused by nitroprusside.</div>	
Drug&nbsp;that&nbsp;can&nbsp;be&nbsp;given&nbsp;to&nbsp;prevent&nbsp;vasospasm&nbsp;after&nbsp;a&nbsp;subarachnoid&nbsp;hemorrhage&nbsp;(SAH)?	<div>→ nimodipine (dihydropyridine CCB).</div>	
Severe headache + stiff neck; Dx?	<div>→ SAH (can cause meningism, similar to meningitis).</div>	
Brain&nbsp;bleed&nbsp;in&nbsp;patient&nbsp;with&nbsp;Alzheimer;&nbsp;Dx?	<div>&nbsp;amyloid angiopathy (intracerebral hemorrhage).</div>	
87F&nbsp;+&nbsp;Alzheimer&nbsp;+&nbsp;low-grade&nbsp;fever&nbsp;+&nbsp;delirium;&nbsp;next&nbsp;best&nbsp;step?&nbsp;	<div>- do urinalysis to look for UTI as cause of delirium.</div>	
Viral infection&nbsp;+&nbsp;tinnitus&nbsp;+&nbsp;vertigo&nbsp;+/-&nbsp;neurosensory&nbsp;hearing&nbsp;loss	<div>labyrinthitis.</div>	
&nbsp;Viral infection&nbsp;+&nbsp;vertigo	<div>→ vestibular neuritis.</div>	
&nbsp;Tx&nbsp;for&nbsp;acute&nbsp;flare&nbsp;of&nbsp;MS	<div>&nbsp;→ IV steroids (oral is wrong and can make flares worse).</div>	
Tx&nbsp;between&nbsp;flares&nbsp;of&nbsp;MS&nbsp;(the&nbsp;patient&nbsp;must&nbsp;by&nbsp;asymptomatic)&nbsp;	<div>→ IFN-beta (interferon beta).</div>	
Tx&nbsp;for&nbsp;spasticity&nbsp;in&nbsp;MS&nbsp;	"<div>&nbsp;→ baclofen (GABA-B
receptor agonist).</div>"	
Incontinence in MS	<div>&nbsp;→ urge (hyperactive detrusor; detrusor instability).</div>	
Mechanism&nbsp;for&nbsp;MS?	"<div>→ T cell-mediated attack against
oligodendrocytes.</div>"	
How&nbsp;to&nbsp;Dx&nbsp;MS?	<div>→ MRI is gold standard; choose MRI over CSF IgG oligoclonal bands.</div>	
27F&nbsp;+&nbsp;intermittent&nbsp;headaches&nbsp;+&nbsp;blurry&nbsp;vision;&nbsp;Dx?	"<div>→ optic neuritis
(multiple sclerosis) → student says
“why the headaches?” Yeah, I know. Weird. But it’s on the NBME. You need
to know optic neuritis is HY in MS
and means inflammation of cranial nerve II → presents as
blurry vision, or change in color vision, or Marcus Gunn pupil (relative afferent pupillary defect).</div>"	
&nbsp;Most&nbsp;specific&nbsp;eye&nbsp;finding&nbsp;in&nbsp;MS&nbsp;	"<div>→ medial longitudinal fasciculus (MLF) syndrome
→ aka internuclear ophthalmoplegia (INO) → when you
abduct to one side, you activate CN VI on that side, which requires the contralateral CN III to
activate in order to adduct → the side that cannot adduct is the side that’s fucked
up; the normal
side will have nystagmus.</div>"	
How&nbsp;to&nbsp;differentiate&nbsp;CN&nbsp;III&nbsp;lesion&nbsp;from&nbsp;INO?&nbsp;→&nbsp;	"<div>&nbsp; INO patients can converge
normally.</div>"	
20F&nbsp;+&nbsp;stiffness&nbsp;of&nbsp;hands&nbsp;+&nbsp;frontal&nbsp;balding&nbsp;+&nbsp;impaired&nbsp;relaxation&nbsp;of&nbsp;hypothenar&nbsp;muscles;&nbsp;Dx?&nbsp;	<div>myotonic dystrophy (CTG TNR disorder).<br></div>	
&nbsp;Cancer&nbsp;patient&nbsp;on&nbsp;cisplatin&nbsp;or&nbsp;vincristine&nbsp;+&nbsp;develops&nbsp;neuropathy;&nbsp;Dx?&nbsp;	<div>&nbsp;toxic neuropathy (chemotherapy-induced neuropathy); these drugs are neurotoxic.</div>	
Confusion&nbsp;and/or&nbsp;seizure&nbsp;due&nbsp;to&nbsp;electrolyte&nbsp;disturbance;&nbsp;Dx?&nbsp;	<div>&nbsp;hypo-/hypernatremia and hypercalcemia all cause CNS dysfunction.</div>	
Confusion&nbsp;in&nbsp;the&nbsp;setting&nbsp;of&nbsp;high&nbsp;BUN&nbsp;and&nbsp;creatinine;&nbsp;Dx?&nbsp;	<div>&nbsp;uremic encephalopathy.</div>	
Floppy&nbsp;baby&nbsp;syndrome;&nbsp;Dx&nbsp;and&nbsp;location&nbsp;of&nbsp;CNS/PNS&nbsp;affected?	"<div>Werdnig-Hoffmann syndrome
(spinal muscular atrophy); anterior horns affected.</div>"	
Antipsychotic medication started + muscle rigidity + no fever; Dx + Tx?	"<div>→ acute
dystonia, not neuroleptic malignant
syndrome (because no fever); Tx with benztropine (muscarinic receptor antagonist) or diphenhydramine (1st gen H1 blocker, which has strong
anti-muscarinic side-effects).<br></div>"	
Antipsychotic&nbsp;medication&nbsp;started&nbsp;+&nbsp;abnormal&nbsp;eye&nbsp;movements&nbsp;+&nbsp;stiff&nbsp;neck;&nbsp;Dx?	"<div>&nbsp;acute dystonia
(oculogyric crisis + torticollis).</div>"	
Antipsychotic&nbsp;medication&nbsp;started&nbsp;+&nbsp;muscle&nbsp;rigidity&nbsp;+&nbsp;fever;&nbsp;Dx&nbsp;+&nbsp;Tx?	<div>→ neuroleptic malignant syndrome; give dantrolene (inhibits ryanodine channel).</div>	
Antipsychotic&nbsp;med&nbsp;+&nbsp;restlessness;&nbsp;Dx&nbsp;+&nbsp;Tx?&nbsp;	<div>&nbsp;akathisia; Tx with propranolol.</div>	
&nbsp;Antipsychotic&nbsp;med&nbsp;+&nbsp;bradykinesia;&nbsp;Dx&nbsp;+&nbsp;Tx?	<div>&nbsp;drug-induced Parkinsonism; Tx with amantadine or propranolol.</div>	
Antipsychotic&nbsp;med&nbsp;+&nbsp;abnormal&nbsp;tongue&nbsp;movements;&nbsp;Dx&nbsp;+&nbsp;Tx?&nbsp;	"<div>→ tardive dyskinesia; stop antipsychotic +
switch to atypical.</div>"	
Tx&nbsp;for&nbsp;diabetic&nbsp;neuropathic&nbsp;pain?	"&nbsp;TCA (i.e.,
amitriptyline). Second-line is gabapentin"	
&nbsp;Tx for herpetic / post-herpetic neuralgia (i.e., from shingles)?	<div>→ gabapentin</div>	
82M diabetic + neuropathic pain + already taking carbamazepine + gabapentin to no avail; next best&nbsp;step?&nbsp;	"<div>→ switch the meds to nortriptyline (a TCA) → student then asks, “Wait,
I thought you said TCAs are
first-line. Why does this Q have the guy on those two meds then?” → two points: 1) we don’t like
giving TCAs to elderly because of their anticholinergic and anti-alpha-1
side-effects, so this vignette happen
to try other agents first, but if you’re asked first-line, always choose TCA;
and 2) if we do give a TCA to an elderly patient,
we choose nortriptyline because it carries
fewer adverse effects.</div>"	
&nbsp;How to differentiate cluster headache from trigeminal neuralgia?&nbsp;	"<div>→ cluster
will be a male 20s-40s with 11/10
lancinating pain behind the eye waking him up at night (he may pace around the
room until it goes away); details
such as lacrimation and rhinorrhea are too easy and will likely not show up on the shelf. In contrast, trigeminal
neuralgia will be 11/10 lancinating pain behind the eye (or along the cheek / jaw if V2 or V3 branches
affected; it’s when V1 is affected that this diagnoses are more readily confused) → TN is brought on by a minor stimulus such as brushing one’s
hair or teeth, or a gust of wind.</div>"	
Tx&nbsp;and&nbsp;prophylaxis&nbsp;for&nbsp;cluster&nbsp;headache?	<div>&nbsp;→ Tx = 100% oxygen; prophylaxis = <b>verapamil.</b></div>	
Tx&nbsp;and&nbsp;prophylaxis&nbsp;for&nbsp;trigeminal&nbsp;neuralgia?	"<div>→ Tx = goes away on its own because
it lasts only seconds; prophylaxis = <b>carbamazepine.</b></div>"	
Tx&nbsp;and&nbsp;prophylaxis&nbsp;for&nbsp;migraine?&nbsp;	"<div>→ Tx = NSAID, followed
by triptan (triptans
are NOT prophylaxis; they are for abortive
therapy only after
NSAIDs); prophylaxis = <b>propranolol.</b></div>"	
&nbsp;32M&nbsp;+&nbsp;diffuse&nbsp;headache&nbsp;relieved&nbsp;by&nbsp;acetaminophen&nbsp;+&nbsp;sleep;&nbsp;Dx?	"<div>&nbsp;tension-type headache; Tx = rest + taper caffeine
(if taking it).</div>"	
&nbsp;Other&nbsp;HY&nbsp;uses&nbsp;for&nbsp;propranolol?	"<div>
<div>o&nbsp;&nbsp;
Migraine prophylaxis (FM form gives patient with HTN + migraine; answer = propranolol)<br></div>
<div>&nbsp;</div>
<div>o&nbsp;&nbsp;
Akathisia
(with antipsychotic use)</div>
<div>&nbsp;</div>
<div>o&nbsp;&nbsp;
Thyroid storm (decreases peripheral conversion of T4 to T3)</div>
<div>&nbsp;</div>
<div>o&nbsp;&nbsp;
Essential tremor (bilateral
resting tremor in young adult; autosomal dominant; patient will self-medicate with EtOH, which
decreases tremor).</div>
<div>o&nbsp;&nbsp;
Hypertension
+ idiopathic tremor
(i.e., tremor need not be essential if patient has HTN →answer on FM form is “beta-adrenergic blockade” for the HTN Tx).</div>
<div>&nbsp;</div>
<div>o&nbsp;&nbsp;
Esophageal
varices prophylaxis (patients
at risk of bleeds)</div>
</div>
<br>

<div>o&nbsp;&nbsp;
Hypertrophic
obstructive cardiomyopathy (increases preload → decreases murmur)</div>
<div>&nbsp;</div>
<div>o&nbsp;&nbsp;
Social phobia</div>"	
47M&nbsp;+&nbsp;bitemporal&nbsp;hemianopsia;&nbsp;most&nbsp;likely&nbsp;tumor?&nbsp;	<div>→ prolactinoma (most common pituitary tumor in adults).</div>	
8M&nbsp;+&nbsp;bitemporal&nbsp;hemianopsia;&nbsp;most&nbsp;likely&nbsp;tumor?	"<div>→ craniopharyngioma (most common pituitary tumor in children; some sources argue not true pituitary tumor
because it’s derived from Rathke pouch, which is the roof of the primitive pharynx).</div>"	
Most&nbsp;common&nbsp;primary&nbsp;brain&nbsp;cancer&nbsp;in&nbsp;children?&nbsp;	<div>→ pilocytic astrocytoma → solid + cystic on MRI; has Rosenthal fibers → not aggressive.</div>	
3F&nbsp;+&nbsp;morning&nbsp;vomiting&nbsp;+&nbsp;truncal&nbsp;ataxia;&nbsp;Dx?	<div>→ medulloblastoma of cerebellar vermis.</div>	
Most&nbsp;common&nbsp;primary&nbsp;brain&nbsp;cancer&nbsp;in&nbsp;adults?&nbsp;	"<div>→ glioblastoma multiforme (butterfly glioma) → areas of necrosis + hemorrhage (large,
irregular mass on head CT); often presents with seizure.</div>"	
&nbsp;44F&nbsp;+&nbsp;SLE&nbsp;+&nbsp;irregular&nbsp;ring-enhancing&nbsp;lesion&nbsp;seen&nbsp;on&nbsp;head&nbsp;CT;&nbsp;Dx?&nbsp;	"<div>&nbsp;→ primary CNS lymphoma, not Toxo.</div>
<div>&nbsp;</div>"	
Neuro&nbsp;shelf&nbsp;asks&nbsp;Tx&nbsp;for&nbsp;Toxo;&nbsp;answer?	"<div>→ sulfadiazine + pyrimethamine; prophylaxis is trimethoprim + sulfamethoxazole. For PJP, TMP/SMX
is Tx and prophylaxis. Yes, this is asked on Neuro shelf.</div>"	
&nbsp;Neonate&nbsp;+&nbsp;intracranial&nbsp;calcifications&nbsp;+&nbsp;chorioretinitis&nbsp;+&nbsp;hydrocephalus;&nbsp;Dx?	<div>→ Congenital Toxo.</div>	
Neonate&nbsp;+&nbsp;intracranial&nbsp;calcifications&nbsp;+&nbsp;deafness&nbsp;+&nbsp;hepatomegaly&nbsp;+&nbsp;rash;&nbsp;Dx?	<div>&nbsp;→ CMV.</div>	
&nbsp;Neonate&nbsp;with&nbsp;bilateral&nbsp;deafness&nbsp;due&nbsp;to&nbsp;maternal&nbsp;infection&nbsp;+&nbsp;no&nbsp;other&nbsp;info&nbsp;given;&nbsp;Dx?	<div>&nbsp;congenital CMV.</div>	
CNS&nbsp;tumors&nbsp;seen&nbsp;in&nbsp;neurofibromatosis?&nbsp;	"<div>&nbsp;→ oligodendroglioma + ependymoma + <b>optic nerve glioma </b>in NF1; in NF2, meningioma. These may
overlap, but be aware that these tumors can merely occur in either NF, period.</div>"	
50F&nbsp;+&nbsp;jaw&nbsp;pain&nbsp;+&nbsp;headaches&nbsp;+&nbsp;normal&nbsp;ESR;&nbsp;Dx?&nbsp;	"<div>&nbsp;→ temporal mandibular joint syndrome; if ESR is high, answer
is jaw claudication caused by temporal arteritis.</div>"	
40F&nbsp;being&nbsp;treated&nbsp;for&nbsp;TB&nbsp;+&nbsp;has&nbsp;neurologic&nbsp;findings&nbsp;in&nbsp;extremities&nbsp;+/-&nbsp;seizure;&nbsp;Dx?	<div>→ B6 (pyridoxine) deficiency caused by isoniazid.</div>	
&nbsp;65F&nbsp;+&nbsp;metastatic&nbsp;breast&nbsp;cancer&nbsp;+&nbsp;suprapubic&nbsp;mass&nbsp;+&nbsp;decreased&nbsp;sphincter&nbsp;tone&nbsp;+&nbsp;pain&nbsp;over&nbsp;lumbar&nbsp;vertebrae&nbsp;on&nbsp;fist&nbsp;percussion;&nbsp;Dx?&nbsp;	<div>&nbsp;metastases to cauda equina.</div>	
44M + saddle anesthesia + late urinary incontinence; Dx?	"<div>&nbsp;cauda equina
syndrome → bundle of spinal
nerves and rootlets
arising from the conus medullaris).</div>"	
&nbsp;44M&nbsp;+&nbsp;perianal&nbsp;anesthesia&nbsp;+&nbsp;early&nbsp;urinary&nbsp;+&nbsp;fecal&nbsp;incontinence;&nbsp;Dx?&nbsp;	<div>&nbsp;conus medullaris syndrome →bulbous end of the spinal cord = conus medullaris.</div>	
48M&nbsp;+&nbsp;burns&nbsp;his&nbsp;thumb;&nbsp;pain&nbsp;sensed&nbsp;via&nbsp;which&nbsp;dermatome?	"<div>&nbsp;C6; lateral
digits primarily C6; middle finger
C7; medial digits
primarily C8.</div>"	
13F + 2-day Hx of lower limb paresthesias + CSF protein 95 mg/dL + CSF leukocyte count 4/uL; Dx?	"<div>&nbsp;Guillain-Barre syndrome (GBS). USMLE will
often not mention preceding infection, especially at 2CK level.</div>"	
What&nbsp;does&nbsp;CSF&nbsp;show&nbsp;in&nbsp;GBS?	<div>&nbsp;albuminocytologic dissociation (high protein but normal cells).</div>	
24M + weakness proximally and distally in lower limbs + weakness distally in upper limbs; rest of the&nbsp;vignette&nbsp;is&nbsp;vague;&nbsp;Dx?&nbsp;	"<div>GBS → this descriptor means paralysis/paresis has ascending in lower limbs
but not yet in upper
limbs.</div>"	
Dx&nbsp;of&nbsp;Guillain-Barre&nbsp;syndrome?	<div>&nbsp;Neuro shelf wants “electromyography and nerve conduction studies” over CSF findings.</div>	
&nbsp;Mechanism&nbsp;of&nbsp;GBS?	"<div>&nbsp;T cell attack against
Schwann cells of PNS.</div>"	
&nbsp;Tx&nbsp;of&nbsp;GBS?	"<div>&nbsp;Tx&nbsp;of&nbsp;GBS?&nbsp;→ IVIG + plasmapheresis; steroids
are the wrong answer.</div>"	
32F + paresthesias in thenar region of hand +/- hand weakness + sensation intact over dorsum of&nbsp;hand;&nbsp;next&nbsp;best&nbsp;step&nbsp;in&nbsp;Dx?&nbsp;	"<div>&nbsp;Neuro NBME exam wants “Electrophysiological testing.”
Call it weird, but it’s what
they want. Examination findings such as Tinel sign, Phalen maneuver, Flick test
are insufficient for diagnosis.</div>"	
First Tx for carpal tunnel syndrome in patient who can’t stop offending activity (e.g., office worker)	"<div>→ <b>wrist
splint first; </b>then <b>triamcinolone
(steroid) injection into the carpal tunnel</b>; do not select anything surgical as it’s always
wrong on the USMLE; NSAIDs are a wrong answer
and not proven
to help</div>"	
Tx&nbsp;for&nbsp;cubital&nbsp;tunnel&nbsp;syndrome	<div>&nbsp;→ elbow splint.</div>	
What&nbsp;is&nbsp;cubital&nbsp;tunnel&nbsp;syndrome	"<div>&nbsp;→ ulnar nerve entrapment at elbow → presents similarly
to carpal tunnel
syndrome but just in an ulnar distribution and involves the forearm.</div>"	
What&nbsp;is&nbsp;Guyon&nbsp;canal&nbsp;syndrome&nbsp;	"<div>→ ulnar nerve entrapment at the wrist → <b>hook of hamate
fracture </b>or</div>
<div>&nbsp;</div>
<div>chronic handle
bar impaction in avid cyclists.</div>"	
Midshaft&nbsp;fracture&nbsp;of&nbsp;humerus;&nbsp;which&nbsp;nerve&nbsp;is&nbsp;injured?	<div>→ radial → wrist-drop + pronated forearm.</div>	
&nbsp;Supracondylar&nbsp;fracture&nbsp;of&nbsp;humerus;&nbsp;which&nbsp;nerve&nbsp;is&nbsp;injured?	<div>median.</div>	
Medial&nbsp;epicondylar&nbsp;fracture;&nbsp;nerve&nbsp;injury?&nbsp;	<div>ulnar.</div>	
&nbsp;Surgical&nbsp;neck&nbsp;of&nbsp;humerus&nbsp;fracture;&nbsp;nerve&nbsp;injury?&nbsp;	<div>axillary.</div>	
&nbsp;Mastectomy&nbsp;+&nbsp;post-operative&nbsp;winged&nbsp;scapula;&nbsp;nerve&nbsp;injury?&nbsp;	<div>&nbsp;long thoracic nerve.</div>	
Which&nbsp;muscle&nbsp;is&nbsp;innervated&nbsp;by&nbsp;long&nbsp;thoracic&nbsp;nerve?	<div>serratus anterior.</div>	
&nbsp;6M&nbsp;+&nbsp;ECG&nbsp;shows&nbsp;miscellaneous&nbsp;arrhythmia&nbsp;+&nbsp;seizure-like&nbsp;episode;&nbsp;Dx?	"<div>Adam-Stokes attack → not true seizure disorder
as per EEG; arrythmia leads to hypoxia
of brainstem → seizure-like fits ensue.</div>"	
